month,year,temp
5,1832,54.2732
6,1832,61.0286
7,1832,65.2766
8,1832,65.7032
9,1832,58.2944
10,1832,51.0476
11,1832,42.5516
12,1832,38.6582
1,1833,30.9614
2,1833,43.2374
3,1833,40.1378
4,1833,47.1164
5,1833,61.6172
6,1833,62.9762
7,1833,63.3434
8,1833,61.3436
9,1833,56.4296
10,1833,51.2906
11,1833,43.4966
12,1833,43.6838
1,1834,43.538
2,1834,39.0578
3,1834,44.4128
4,1834,47.831
5,1834,60.1322
6,1834,63.6962
7,1834,68.7722
8,1834,67.1162
9,1834,63.0464
10,1834,52.5092
11,1834,44.474
12,1834,39.245
1,1835,37.1498
2,1835,41.6462
3,1835,42.4148
4,1835,48.1262
5,1835,55.3064
6,1835,62.1806
7,1835,67.6832
8,1835,65.8166
9,1835,59.4356
10,1835,48.9848
11,1835,40.874
12,1835,34.3328
1,1836,35.3768
2,1836,37.013
3,1836,47.5916
4,1836,46.832
5,1836,53.6594
6,1836,63.7394
7,1836,66.2936
8,1836,65.0678
9,1836,56.912
10,1836,51.2078
11,1836,43.4876
12,1836,39.2612
1,1837,35.636
2,1837,40.1054
3,1837,37.5962
4,1837,42.8684
5,1837,52.5326
6,1837,63.8384
7,1837,65.1758
8,1837,66.8408
9,1837,57.4088
10,1837,51.7532
11,1837,42.1574
12,1837,39.7112
1,1838,26.0546
2,1838,34.4822
3,1838,43.1582
4,1838,45.0158
5,1838,56.1758
6,1838,61.0286
7,1838,64.9094
8,1838,63.0608
9,1838,58.937
10,1838,51.2294
11,1838,43.6496
12,1838,37.0004
1,1839,35.5118
2,1839,38.9516
3,1839,41.657
4,1839,45.0878
5,1839,54.5072
6,1839,64.427
7,1839,65.7014
8,1839,62.5208
9,1839,58.5374
10,1839,51.305
11,1839,45.3254
12,1839,40.6472
1,1840,37.31
2,1840,37.4324
3,1840,38.3018
4,1840,51.0908
5,1840,56.7158
6,1840,62.5856
7,1840,62.4902
8,1840,65.6384
9,1840,57.6212
10,1840,47.6816
11,1840,44.6666
12,1840,30.3998
1,1841,33.3122
2,1841,35.3894
3,1841,46.67
4,1841,48.9236
5,1841,60.629
6,1841,59.2052
7,1841,60.9152
8,1841,63.4226
9,1841,61.5272
10,1841,50.3834
11,1841,42.9764
12,1841,39.8084
1,1842,29.984
2,1842,38.3216
3,1842,45.0752
4,1842,47.5034
5,1842,57.3656
6,1842,64.9508
7,1842,64.5764
8,1842,68.9216
9,1842,57.9794
10,1842,45.5252
11,1842,40.2422
12,1842,39.3854
1,1843,38.1668
2,1843,38.8796
3,1843,44.1572
4,1843,49.1108
5,1843,55.0634
6,1843,59.1152
7,1843,63.4424
8,1843,65.2568
9,1843,60.8648
10,1843,50.1242
11,1843,43.4192
12,1843,40.2512
1,1844,35.9978
2,1844,35.7062
3,1844,42.4094
4,1844,52.8836
5,1844,54.7628
6,1844,63.3848
7,1844,63.6296
8,1844,60.035
9,1844,59.6822
10,1844,50.018
11,1844,43.682
12,1844,31.3628
1,1845,36.167
2,1845,30.3404
3,1845,34.9412
4,1845,50.2934
5,1845,52.0556
6,1845,64.2416
7,1845,64.1336
8,1845,60.1628
9,1845,57.9632
10,1845,50.8172
11,1845,45.6458
12,1845,40.856
1,1846,40.8272
2,1846,43.6982
3,1846,45.5576
4,1846,49.6778
5,1846,57.6212
6,1846,68.8712
7,1846,68.7596
8,1846,68.4428
9,1846,63.1706
10,1846,51.4418
11,1846,41.9738
12,1846,30.3188
1,1847,34.709
2,1847,36.0644
3,1847,41.3546
4,1847,45.0536
5,1847,59.5526
6,1847,59.6912
7,1847,68.0144
8,1847,65.4404
9,1847,56.3018
10,1847,51.6362
11,1847,45.1364
12,1847,37.3424
1,1848,29.3306
2,1848,42.5552
3,1848,44.231
4,1848,50.747
